s,C,m/s,mol/mol,mol/mol,mol/mol,mol/mol,,kW,kg/s
Time,Ttop,v_top,Xair_top,Xo2_top,Xco_top,X_C2H60_top,Xs_top,HRR,BURN_RATE
0.00E+000,2.00E+001,0.00E+000,1.00E+000,2.10E-001,0.00E+000,0.00E+000,0.00E+000,0.00E+000,2.74E-010
4.80E-001,2.00E+001,4.28E-002,1.00E+000,2.10E-001,4.58E-019,0.00E+000,1.26E-021,3.43E-004,2.78E-008
9.60E-001,3.90E+001,1.34E-001,9.86E-001,2.07E-001,2.08E-003,1.01E-018,5.03E-008,8.41E-004,7.32E-008
1.44E+000,4.66E+001,1.77E-001,9.83E-001,2.07E-001,2.42E-003,3.20E-018,4.83E-008,1.22E-003,9.95E-008
1.92E+000,5.11E+001,1.98E-001,9.79E-001,2.06E-001,3.04E-003,4.39E-018,5.55E-008,1.55E-003,1.12E-007
2.40E+000,5.32E+001,2.08E-001,9.77E-001,2.05E-001,3.35E-003,9.22E-019,5.95E-008,1.69E-003,1.17E-007
2.88E+000,5.18E+001,2.06E-001,9.76E-001,2.05E-001,3.48E-003,1.51E-016,6.29E-008,1.74E-003,1.19E-007
3.36E+000,4.95E+001,2.05E-001,9.75E-001,2.05E-001,3.61E-003,1.13E-017,6.80E-008,1.77E-003,1.20E-007
3.84E+000,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,8.00E-018,6.20E-008,1.78E-003,1.20E-007
4.32E+000,4.85E+001,2.07E-001,9.77E-001,2.05E-001,3.32E-003,3.73E-020,6.20E-008,1.79E-003,1.20E-007
4.80E+000,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,1.50E-027,6.19E-008,1.79E-003,1.20E-007
5.28E+000,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,1.80E-037,6.18E-008,1.79E-003,1.20E-007
5.76E+000,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.18E-008,1.79E-003,1.20E-007
6.24E+000,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
6.72E+000,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
7.20E+000,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
7.68E+000,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
8.16E+000,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
8.64E+000,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
9.12E+000,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
9.60E+000,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
1.01E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
1.06E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
1.10E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
1.15E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
1.20E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
1.25E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
1.30E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
1.34E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
1.39E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
1.44E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
1.49E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
