s,C,m/s,mol/mol,mol/mol,mol/mol,mol/mol,,kW,kg/s
Time,Ttop,v_top,Xair_top,Xo2_top,Xco_top,X_C2H60_top,Xs_top,HRR,BURN_RATE
0.00E+000,2.00E+001,0.00E+000,1.00E+000,2.10E-001,0.00E+000,0.00E+000,0.00E+000,0.00E+000,2.74E-010
4.80E-001,2.03E+001,2.72E-001,9.04E-001,2.10E-001,4.08E-007,2.13E-030,1.90E-011,3.42E-004,2.78E-008
9.60E-001,2.57E+001,9.33E-001,7.62E-001,2.09E-001,6.23E-004,1.25E-017,1.85E-008,9.24E-004,7.32E-008
1.44E+000,2.67E+001,1.49E+000,7.51E-001,2.09E-001,5.48E-004,2.87E-017,1.57E-008,1.33E-003,9.95E-008
1.92E+000,2.95E+001,1.79E+000,7.43E-001,2.09E-001,8.71E-004,2.48E-010,2.39E-008,1.59E-003,1.12E-007
2.40E+000,3.12E+001,1.90E+000,7.44E-001,2.09E-001,9.66E-004,8.79E-015,2.75E-008,1.97E-003,1.17E-007
2.88E+000,2.77E+001,2.07E+000,7.29E-001,2.09E-001,6.88E-004,5.48E-017,2.01E-008,1.38E-003,1.19E-007
3.36E+000,2.78E+001,2.15E+000,7.18E-001,2.09E-001,8.79E-004,1.61E-016,2.60E-008,2.05E-003,1.20E-007
3.84E+000,2.88E+001,2.11E+000,7.40E-001,2.09E-001,1.02E-003,2.03E-016,2.72E-008,1.88E-003,1.20E-007
4.32E+000,2.60E+001,1.95E+000,7.46E-001,2.09E-001,7.38E-004,2.06E-016,2.24E-008,1.87E-003,1.20E-007
4.80E+000,2.69E+001,1.99E+000,7.46E-001,2.09E-001,8.09E-004,2.47E-016,2.29E-008,1.71E-003,1.20E-007
5.28E+000,2.89E+001,1.99E+000,7.29E-001,2.09E-001,1.01E-003,2.59E-016,2.86E-008,1.91E-003,1.20E-007
5.76E+000,2.54E+001,2.04E+000,7.23E-001,2.09E-001,6.35E-004,4.24E-016,1.96E-008,1.38E-003,1.20E-007
6.24E+000,2.94E+001,2.06E+000,7.30E-001,2.09E-001,1.07E-003,6.10E-016,3.00E-008,2.00E-003,1.20E-007
6.72E+000,2.73E+001,2.04E+000,7.38E-001,2.09E-001,8.42E-004,5.26E-018,2.51E-008,1.72E-003,1.20E-007
7.20E+000,2.98E+001,2.40E+000,7.09E-001,2.08E-001,1.11E-003,6.19E-017,3.13E-008,2.13E-003,1.20E-007
7.68E+000,2.64E+001,2.13E+000,7.52E-001,2.09E-001,7.07E-004,1.76E-016,2.13E-008,1.71E-003,1.20E-007
8.16E+000,2.68E+001,2.29E+000,7.33E-001,2.09E-001,7.75E-004,2.63E-016,2.35E-008,1.72E-003,1.20E-007
8.64E+000,2.78E+001,2.11E+000,7.26E-001,2.09E-001,8.76E-004,6.91E-008,2.40E-008,1.66E-003,1.20E-007
9.12E+000,3.01E+001,1.93E+000,7.27E-001,2.08E-001,1.12E-003,1.18E-008,3.07E-008,2.04E-003,1.20E-007
9.60E+000,2.54E+001,2.14E+000,7.48E-001,2.09E-001,6.19E-004,8.99E-021,1.97E-008,1.76E-003,1.20E-007
1.01E+001,2.62E+001,1.94E+000,7.47E-001,2.09E-001,6.94E-004,7.20E-017,2.13E-008,1.45E-003,1.20E-007
1.06E+001,2.88E+001,2.25E+000,7.32E-001,2.09E-001,1.01E-003,5.98E-017,2.85E-008,2.22E-003,1.20E-007
1.10E+001,2.75E+001,2.34E+000,7.25E-001,2.09E-001,8.88E-004,3.77E-016,2.70E-008,1.76E-003,1.20E-007
1.15E+001,2.68E+001,2.13E+000,7.34E-001,2.09E-001,7.63E-004,6.49E-017,2.29E-008,1.73E-003,1.20E-007
1.20E+001,2.59E+001,2.17E+000,7.34E-001,2.09E-001,6.78E-004,7.77E-017,2.08E-008,1.69E-003,1.20E-007
1.25E+001,2.85E+001,1.98E+000,7.29E-001,2.09E-001,9.79E-004,2.36E-016,2.74E-008,1.70E-003,1.20E-007
1.30E+001,2.69E+001,2.13E+000,7.25E-001,2.09E-001,8.29E-004,9.18E-017,2.35E-008,1.53E-003,1.20E-007
1.34E+001,2.74E+001,2.11E+000,7.33E-001,2.09E-001,8.53E-004,1.33E-016,2.52E-008,1.71E-003,1.20E-007
1.39E+001,2.78E+001,2.19E+000,7.27E-001,2.09E-001,8.94E-004,2.18E-016,2.64E-008,1.87E-003,1.20E-007
1.44E+001,3.15E+001,2.05E+000,7.29E-001,2.08E-001,1.26E-003,2.00E-016,3.46E-008,2.31E-003,1.20E-007
1.49E+001,2.78E+001,2.09E+000,7.34E-001,2.09E-001,8.84E-004,2.87E-014,2.77E-008,1.74E-003,1.20E-007
1.54E+001,2.67E+001,2.08E+000,7.23E-001,2.09E-001,7.47E-004,1.90E-010,2.19E-008,1.62E-003,1.20E-007
1.58E+001,2.81E+001,2.35E+000,7.23E-001,2.09E-001,9.22E-004,2.19E-016,2.76E-008,1.98E-003,1.20E-007
1.63E+001,2.80E+001,2.06E+000,7.32E-001,2.09E-001,9.41E-004,4.52E-017,2.77E-008,1.57E-003,1.20E-007
1.68E+001,2.64E+001,1.99E+000,7.26E-001,2.09E-001,7.18E-004,1.05E-016,2.21E-008,1.95E-003,1.20E-007
